1<>凜　</b> ◆Wpuzura65A<b><><>2008/04/12(土) 01:36:13<>いわゆる管理スレ。<br>何かあれば適当にどうぞ。<>鶉の羽の下（管理運営・意見・要望など）の7.5<>YL0bGuuo0
22<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 02:22:17<>ＡＫＵ終わって、例大祭落ちて、<br>門板までなくなったらほんとどうしようかと思ったけど安心した。<br><br>板立て乙でした。これからもよろしくお願いします。<><>38FQy2Nk0
23<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 02:36:10<>ところでこちらもログ上限は2000なのか？<><>Nwv.3KwY0
24<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 02:47:01<>したらば仕様だから多分そう<><>tsDY81hU0
25<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 02:51:04<><a href="/bbs/read.cgi/game/42679/1207931773/23-24" target="_blank">&gt;&gt;23-24</a><br>…延々としたらばで板を取得し続けることになるのだろうか…？ヌゥ<><>.694zTME0
26<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 03:01:05<>乙です。よろしくお願いいたします。<br>ログ上限２０００だしチル裏は過去ログ捨てていいと思うけどなぁ<br>雑談スレとっとくっていうのもなんだし<><>q1Tb6UZo0
27<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 03:02:35<>管理人にこれ以上余計な負担をかけたいならそれでもいいよ<><>t8pgOnt.0
28<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 03:03:23<>ならログ消しなしで存続か<><>rq2EObL20
29<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 03:12:36<>管理人がどうするかはともかく、<br>チル裏スレとしては過去ログは別に残さなくていいってことで方向性は出てる<br>むしろ宣言なしでのスレタイテンプレ改変等で新板のチル裏の立ち位置が微妙in旧スレ<><>tygmhAUc0
30<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 04:57:41<><br>http://jbbs.livedoor.jp/bbs/read.cgi/computer/6306/1207461333/327<br><br>＞327 名前：凜　 ◆Wpuzura65A[sage] 投稿日：2008/04/12(土) 04:04:15 ID:vnbT/JnI0<br>＞この板での雑談スレに関しては、過去ログ送りの代わりにスレッド削除の方向かなぁ。<br>＞ウミガメスレはどんな様子なんでしょう？　ちょっと決めかねています。<br><br>＞繰り返しになりますが、シリーズ板の過去ログ削除（＆過去ログ送り）はしません。<br>＞あくまで、project板に関しての話です。<br><br>＞あと、シリーズ板との違いですが、書き込み行数等、数値的な違いはありません。<br>＞管理方針の違いが幾らかある程度です。<br>＞具体的な違いは、いつも通り秘密です。<br><br><br>鶉さんエラい誤爆してるよｗ<br>とりあえずこっちの板に転載しときます。<><>GGmDqSe20
31<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 05:58:21<>誤爆する鶉可愛いよ鶉<><>jdv/wslw0
32<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 11:31:38<>鶉さん可愛いね、其れは兎も角移転乙〜<><>Uoowx2iY0
33<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 11:33:22<>板名だけど、projectの『p』は大文字の『P』の方が良いのでは？<><>c/NAu6RY0
34<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 11:40:14<>公式表記が小文字だったよーな<br><br>移転乙ー。スレ立ての人たちも乙。<><>amsGaaxA0
35<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 13:23:17<>早速削除依頼<br><br>東方萃夢想ヲチスレ民VS拳闘民VSIRC民VS鶉(削除的に<br>http://jbbs.livedoor.jp/bbs/read.cgi/game/42679/1207967503/l50<><>0tHEQ0wY0
36<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 13:24:02<>てｓ<><>npHHFAO60
37<>種族：名無し　多様性：高<><>2008/04/12(土) 13:42:01<>名前欄が空白のとき　名前がない程度の能力　にしてほしいです<><>0GlDxp8g0
38<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 13:43:28<>なんでよ<><>6KfN7jF20
39<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 13:44:46<>そりゃあ、気に入らないからさ<><>KWmBIBQY0
40<>種族：名無し　多様性：高<><>2008/04/12(土) 13:44:50<><a href="/bbs/read.cgi/game/42679/1207931773/38" target="_blank">&gt;&gt;38</a>　そのほうが東方らしい　板が変わっても管理人が変わっても　門板は変わらないでほしいと思うから<><>0GlDxp8g0
41<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 13:47:46<>俺は違うの（↑でもいいけど）に一票。<br>守矢神社のように引っ越ししたんだし、新板ならではの違いもあって良いと思うんだ。<><>t98PZCt.0
42<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 13:49:53<><a href="/bbs/read.cgi/game/42679/1207931773/40" target="_blank">&gt;&gt;40</a><br>貴様ここを誰が管理してる場所だと思ってるんだ<><>LHsT.F/U0
43<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 13:50:20<><a href="/bbs/read.cgi/game/42679/1207931773/40" target="_blank">&gt;&gt;40</a><br>名前が変わっても門板は変わらないから安心しなされ<><>6KfN7jF20
44<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 13:58:24<>まるでこの名無しが東方に関係ないみたいな言い方だな<><>/yyqT1go0
45<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 14:02:40<>求聞史紀の種族分けとか危険度が元ネタってことでいいの？これ<><>6KfN7jF20
46<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 14:36:33<>なんかスマートさが足りないよなー、とは思う。＞名無し<br>スペース空いてると納まり悪いというか。<br>いやこのままでもきっと慣れるんだろうけど。<><>QTmY5Y4I0
47<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 14:56:54<>直リン禁止設定って必要なのかね？<br>特に必要ないなら外したほうがいいと思うんだが。<br>テンプレの前スレなんかのh外すの面倒臭い<><>KWmBIBQY0
48<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 14:57:52<>と思ったら外れてた（ノ∀｀）<><>KWmBIBQY0
49<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 15:29:59<>名無し変わってるの言われるまで気付かなかった<><>4vcQLnwA0
50<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 15:38:55<>前のは改変しやすかったってのはあるかな<><>Lr8fIMVM0
51<>凜　</b> ◆Wpuzura65A<b><><>2008/04/12(土) 15:46:40<>&gt; 「名無し」<br>まあ、この板があるのバレてから考えたからなぁ……<br>とりあえず、具体的な「名無し」案を募集。<br>ただし、「名前が無い程度の能力」は却下で。<br><br>結果反映は、日曜日の夜くらいに。<><>YL0bGuuo0
52<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 15:53:43<>単純すぎるが<br>無符「幻想郷の名無し」<><>LHsT.F/U0
53<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 15:57:03<>以下、名無しにかわりまして毛玉がお送りします。<><>zc6CLdAM0
54<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 15:57:33<>今のままで<><>QMXD9piE0
55<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 15:57:35<>名無しの人間さん<><>KWmBIBQY0
56<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 16:01:13<>人里の名無しさん<><>ITD2D7fE0
57<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 16:02:04<>U.N.オーエンは名無しなのか？<><>LHsT.F/U0
58<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 16:02:25<>毛玉でいいんじゃね。<><>X6VAK/DI0
59<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 16:03:08<>東方名前欄<br><br><br>うん、ごめん<><>wFp.eSSE0
60<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 16:06:16<>ネームレス・シューターズ<><>t98PZCt.0
61<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 16:06:57<>Bonus774 history 0/774<><>040feZWU0
62<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 16:09:31<>種族：名無し<br><br>名前が未確認の種族<><>n0yqQvpY0
63<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 16:09:42<>th774<br><br>とか<><>d8mES5SE0
64<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 16:22:39<><a href="/bbs/read.cgi/game/42679/1207931773/61" target="_blank">&gt;&gt;61</a><br>落としすぎだろｗ<><>t98PZCt.0
65<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 16:25:28<>名無し妖精メイド<br>名無し毛玉<br>名無し子悪魔<><>6zp3iGfY0
66<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 16:36:03<>てｓｔ<><>oUvq/PjQ0
67<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 16:41:18<>いっそここに上がったやつをすべてランダム表示にするとか<><>zc6CLdAM0
68<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 16:43:28<>東方名無氏さん<br><br>または<a href="/bbs/read.cgi/game/42679/1207931773/59" target="_blank">&gt;&gt;59</a>にｲﾋﾟｮｰｳ<><>QTmY5Y4I0
69<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 17:06:35<><a href="/bbs/read.cgi/game/42679/1207931773/59" target="_blank">&gt;&gt;59</a>東方名前欄に一票、語呂が良いｗ<><>uTWQZr1w0
70<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 17:11:57<>だったら、<br><br>東方無名欄<br>東方無名郷<br>東方無名人<br>東方無名者<br><br>とかは？<><>GGmDqSe20
71<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 17:12:24<>このままでいいじゃん<><>4LUpPtlw0
72<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 17:21:41<>現状のままに一票<br>これ結構好きだ<><>1RbeHulg0
73<>東方名前欄<><>2008/04/12(土) 17:25:02<>これ面白くていいかもしれない<><>0GlDxp8g0
74<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 17:39:39<>東方名前藍<><>6zp3iGfY0
75<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 17:39:42<>考えてみた<br><br>名無しの毛玉<br>名も無き妖怪さん<br>道火線になる程度の妖精<br><br>…道火線ブラザーズは脳内却下しといた<><>64fFuUAE0
76<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 17:42:09<>罪袋<br><br>……ごめんなしで<><>6zp3iGfY0
77<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 17:47:43<>楽園の素敵な名無し<><>040feZWU0
78<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 17:53:00<>名無しはパワーだぜ<><>FLGJY2b20
79<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 17:53:39<>今のに慣れてきたからなぁ・・・空白がまぁ気になるんで「種族：名無し」だけがいいかな<><>lgnr3ArA0
80<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 17:54:43<>普通の名無しさん<br>名前を宣言してください<br>命名まで結構時間かかりますので、その間にレスでもどうぞ<br>この先、７７４レス<br>幻想郷二番目の名無し<br>掲示板レス担当名無し<br>名前が未確認の名無し<br>光学迷彩<br>幻想郷の妖怪を774枚撮影せよ<><>Dtf6pbEk0
81<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 17:56:40<>名前を宣言してください　がこの中では好き<><>KWmBIBQY0
82<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 17:59:16<>今のでもいい気がするけど、変えるなら<a href="/bbs/read.cgi/game/42679/1207931773/63" target="_blank">&gt;&gt;63</a>とか好きだな<br>短いけど東方ネタ仕込んであるってことで<><>xcf.rckQ0
83<>名無し派魔法使い<>sage<>2008/04/12(土) 18:06:15<>名無「774年の名欄」<br><br>やっつけ。<><>7Jyr6Pf.0
84<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 18:12:24<>大ちゃんやこぁ的に考えて<br><br>私にも名前をくださいっ<><>Bxkfh8n.0
85<>完全で瀟洒な名無し<>sage<>2008/04/12(土) 18:14:33<>↑元がQED「495年の波紋」だが、やっつけすぎた。どうせなら<br>NNS「774年の波紋」で。<br><br>だが<a href="/bbs/read.cgi/game/42679/1207931773/63" target="_blank">&gt;&gt;63</a>が良いと思った。<><>7Jyr6Pf.0
86<>種族：名無し　多様性：高<><>2008/04/12(土) 18:15:35<>考えてみた　<br><br>花妖精から　「ななし妖精」<><>0GlDxp8g0
87<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 18:19:02<><a href="/bbs/read.cgi/game/42679/1207931773/77" target="_blank">&gt;&gt;77</a><br>がなかなか好き。<><>38FQy2Nk0
88<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 18:28:22<>名前が無いように見えるのはサニーのせい<><>vQwosdG20
89<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 18:29:23<>名前は幻想になりました<><>JT2/rCDs0
90<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 18:29:31<>soreda!!<><>64fFuUAE0
91<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 18:30:20<>ごめん<a href="/bbs/read.cgi/game/42679/1207931773/90" target="_blank">&gt;&gt;90</a>は<a href="/bbs/read.cgi/game/42679/1207931773/88" target="_blank">&gt;&gt;88</a>宛で<><>64fFuUAE0
92<>名前消失〜Lost Name<>sage<>2008/04/12(土) 18:31:43<>名無しったら最強ね<br>無符「名前封印」<><>zLN1YKuo0
93<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 18:37:54<>名無しの参拝客<><>XDe7q.FA0
94<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 18:40:29<>名符「そして名無しになるのか？」<><>wFp.eSSE0
95<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 18:42:32<>流れを断ち切る削除依頼です。自分で立てたスレですが<br><br>【伏見】東方所縁探訪スレッド【弘川】<br>http://jbbs.livedoor.jp/bbs/read.cgi/game/42679/1207976248/l50<br><br>あっちでまだ決まりきらないうちに立ててしまいました。<br>どうか削除して頂けると助かります。<><>836UPka20
96<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 18:50:28<>無名「空を飛ぶ不思議な名無し」<br><br>･･･うん、<a href="/bbs/read.cgi/game/42679/1207931773/92" target="_blank">&gt;&gt;92</a>の方が好きだわｗ<><>sTT1S/pE0
97<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 18:54:34<>名無しプレイヤー＠霊撃いっぱい<><>pDp3tBgI0
98<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 18:55:12<><a href="/bbs/read.cgi/game/42679/1207931773/95" target="_blank">&gt;&gt;95</a><br>事情はわからんが、正規な続きなら、ほっとけば前スレ落ちたときに再利用されるんじゃないか？<><>t98PZCt.0
99<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 18:57:07<>ゆっくりなのっていってね！！！<br>名前は空欄。常識よ<br>No.774 ？？？？？ 0/0<><>Dtf6pbEk0
100<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 19:04:51<><a href="/bbs/read.cgi/game/42679/1207931773/98" target="_blank">&gt;&gt;98</a><br>いろいろありまして、前スレとは違うんだけど酷似していてひどく紛らわしい上、<br>話し合いがないままスレタイも変えてしまったので、消さざるを得ないかなと思いまして。<><>836UPka20
101<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 19:22:53<>「名の知らぬ外来人」<br>に一票。削除された時は「妖怪に美味しく頂かれました」とかはどう？<><>Uoowx2iY0
102<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 19:24:12<><a href="/bbs/read.cgi/game/42679/1207931773/101" target="_blank">&gt;&gt;101</a><br>おぉ<><>wFp.eSSE0
103<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 19:25:31<>幻想に最も近い名無し<><>vxF9OCZo0
104<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 19:35:55<><a href="/bbs/read.cgi/game/42679/1207931773/101" target="_blank">&gt;&gt;101</a><br>いいなそれ。特に削除がｗ<><>t98PZCt.0
105<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 19:41:07<>食べてもいい名無し<><>cFqSyk2U0
106<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 19:45:04<>現状でおｋ<><>4b5jriRc0
107<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 19:50:24<><a href="/bbs/read.cgi/game/42679/1207931773/63" target="_blank">&gt;&gt;63</a>がシンプルで個人的には。特定のキャラを連想させる偏ったものでもないし公平な気が。<><>3z8lYmTo0
108<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 19:59:29<><a href="/bbs/read.cgi/game/42679/1207931773/101" target="_blank">&gt;&gt;101</a>かなぁ<br>現状でもいいんですが<><>arbeN2Ho0
109<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 20:17:28<>現状で、スペースを全角から半角に直すと見栄えが良いとおも。<><>7BVqKy9k0
110<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 20:18:24<>東方名無し<br>上海名無し幻樂団<><>SVAN5dMY0
111<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 20:19:48<>現状のままだとなんかムズムズする<><>ZCcAeeQI0
112<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 20:27:31<>東方無名塚<><>WWoKZPeo0
113<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 20:28:19<>空白がむずむずの原因と見た<><>j7fS6tFk0
114<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 20:44:21<>現状のままでもいいけど<br>せっかくなので一つだけ<br><br>無名の丘の名前無し<><>6KfN7jF20
115<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 20:49:28<><a href="/bbs/read.cgi/game/42679/1207931773/112" target="_blank">&gt;&gt;112</a><br>いっそシンプルに「無名塚」だけとか。<><>fuyAvzb2O
116<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 20:58:31<>流れぶった切り。遅れながら移転乙です<br><br><a href="/bbs/read.cgi/game/42679/1207931773/30" target="_blank">&gt;&gt;30</a><br>ここでレスしていいんかな？<br>ウミガメにもまとめWikiがあるにはあるんですが、過去問を参照するために<br>過去ログへのリンクを貼るという方法をとっています<br>前板のログは削除されないということですので、これまでのログの分に関しては問題はないと思われます<br>また有志がバックアップを取ったりもしてくれたみたいです<br><br>今後のログに関しては削除されるという可能性が挙がっていますが、<br>既に、スレが1000到達したらログを別途保存してWikiに貼るという案も出ています<br>ですので今のところログ削除に対して否定的ではありません。調整中ですが<br>ただ順次削除していくにしても、保存と編集のための猶予は欲しいところです<br>希望を言えば編集と参照の簡単のため削除してほしくはないのですが、それは別の話<><>l14Q8D/Y0
117<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 21:14:48<>移転乙　　　。<><>vRA.u/pY0
118<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 21:16:20<>外力「無名の超高速飛行物体」<br><br>削除は「無かった事に」でいいんじゃないか？<br>あとは<a href="/bbs/read.cgi/game/42679/1207931773/101" target="_blank">&gt;&gt;101</a>を混ぜて「慧音に美味しく頂かれました」みたいな<><>Oo9vAaLs0
119<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 21:18:00<>Janeのタブが増えすぎて本当に酷い事になってるので<br>向こうの住人は何日までにスレ立ててこっちに引っ越してくるようにとかやってもらいたい所だ<><>LrNWle8Q0
120<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 21:24:04<>無名秘封倶楽部<><>oDuKcmZI0
121<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 21:25:00<>名無しの百万鬼夜行<><>DtAPnFMA0
122<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 21:39:05<><a href="/bbs/read.cgi/game/42679/1207931773/119" target="_blank">&gt;&gt;119</a><br>確かに、推奨移動日を決めて、それまでに移動してしまうほうがスッキリするな。<br>今のままだと、不便だし。<br><br>とはいえ、各スレ住人の意向もあるだろうからなぁ…<><>kbtpeYmc0
123<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 21:40:28<>テスト<><>qOzGKC6o0
124<>種族：名無し　多様性：高<><>2008/04/12(土) 21:41:36<>どうにも貧乏性で埋まってないともったいなく感じるんだよね<><>DFT2lBPsO
125<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 21:44:59<>東方名無史記<br>削除されたら<br>名無しは神隠しされました<br>とか<><>O8WLLb52O
126<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 21:52:34<>妖怪に美味しくいただかれました<><>oDuKcmZI0
127<>種族：名無し 多様性：高<>sage<>2008/04/12(土) 22:11:06<>できれば全作品に共通して当てはまる感じの奴がいいなあ。<br>ってことで<a href="/bbs/read.cgi/game/42679/1207931773/59" target="_blank">&gt;&gt;59</a>を押しておこう<><>2FKxaorw0
128<>種族：名無し　多様性：高<>sage<>2008/04/12(土) 22:11:06<>でつっこむんだが、名前に書いたほうがよくね？<><>BOtSsaL60
129<>種族：名無し 多様性：高<>sage<>2008/04/12(土) 23:15:55<>てｓ<><>dkx171CY0
130<>名無しの毛玉<>sage<>2008/04/12(土) 23:18:11<><a href="/bbs/read.cgi/game/42679/1207931773/128" target="_blank">&gt;&gt;128</a><br>こういう意味ってことでいいんかな？<br><br>ただ、意図的に名前欄は無視する癖があるからあんまり気づかないｗ<><>A3h.5U5Y0
131<>種族：名無し 友好度：低<>sage<>2008/04/12(土) 23:19:47<>いつの間にやらデフォが半角SPになっとる<><>dkx171CY0
132<>種族：名無し 多様性：高<>sage<>2008/04/12(土) 23:30:10<>しかも友好度：低に<br>これがいいな。<><>JT2/rCDs0
133<>種族：名無し 多様性：高<>sage<>2008/04/12(土) 23:42:58<>ホントだ、半角だ<br><br>違和感なくなったな<><>6KfN7jF20
134<>名前が無い程度の能力<>sage<>2008/04/12(土) 23:44:34<>やっぱりコレが一番落ち着いちゃうなぁ…<><>Ba3jlxdc0
135<>種族：名無し 危険度：無<>sage<>2008/04/12(土) 23:45:50<>半角スペースになっただけで違和感が消えるとわ<br>誰か心理学的に説明してくれｗ<><>j7fS6tFk0
136<>種族：名無し 多様性：高<>sage<>2008/04/12(土) 23:49:07<>全角スペースだと間が空きすぎて区切りがついてしまう<br>半角だとなんとなく連続性を感じられる<><>7cEwb2Cw0
137<>種族：名無し 多様性：高<>sage<>2008/04/12(土) 23:49:38<>まぁ2ch的にもプログラム的にも<br>全角は嫌忌されてるものだしなｗ<><>WWoKZPeo0
138<>種族：名無し 知能度：低<>sage<>2008/04/12(土) 23:50:02<>そーなのかー<><>A3h.5U5Y0
139<>種族：名無し 多様性：高<>sage<>2008/04/12(土) 23:50:29<>あれだ、ゲシュタルトだ……違う？<br><br>しかもたまにうしろが変わったりするのな<><>GGmDqSe20
140<>名無しの書き込み妖怪<>sage<>2008/04/12(土) 23:50:46<><a href="/bbs/read.cgi/game/42679/1207931773/135" target="_blank">&gt;&gt;135</a><br>心理学より視覚の問じゃね？<><>UV2N6CRA0
141<>種族：名無し 多様性：高<>sage<>2008/04/12(土) 23:51:17<>後ろが微妙に変わるのはどういうことだろう…<><>GHa8YjY.0
142<>種族：名無し 多様性：高<>sage<>2008/04/12(土) 23:51:25<>ゆかりんの力の片鱗を見た気もするな<><>Dtf6pbEk0
143<>種族：名無し 危険度：極低<>sage<>2008/04/12(土) 23:52:36<>これ後ろの勝手に変わってるのか<><>arbeN2Ho0
144<>種族：名無し 多様性：高<>sage<>2008/04/12(土) 23:53:13<>んー？<><>dkx171CY0
145<>140<>sage<>2008/04/12(土) 23:53:19<><a href="/bbs/read.cgi/game/42679/1207931773/143" target="_blank">&gt;&gt;143</a><br>ｍｊｄ？<><>UV2N6CRA0
146<>種族：名無し 多様性：高<>sage<>2008/04/12(土) 23:53:55<>ちょっとてすと<><>L/V4hCe.0
147<>種族：名無し 多様性：低<>sage<>2008/04/12(土) 23:55:03<>てすてす<><>6KfN7jF20
148<>種族：名無し 多様性：高<>sage<>2008/04/12(土) 23:55:12<>tes<><>O8WLLb52O
149<>種族：名無し 多様性：高<>sage<>2008/04/12(土) 23:55:43<>変えてるんじゃないのか？<><>Dtf6pbEk0
150<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 00:01:07<>tes.<><>sGSQ1cu20
151<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 00:02:52<>tsts<><>C8USbDtk0
152<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 00:03:24<>ﾆﾔﾆﾔ<><>FEaircMA0
153<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 00:03:26<>てす<><>9pDZaj820
154<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 00:05:44<>今気付いたんだがスレタイからテストが消えてるな<><>57FQUiXQ0
155<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 00:06:12<>ﾆﾔﾆﾔ<><>TrtcekJk0
156<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 00:06:32<>き、きっと「など」の部分に含まれてるんだよ！<><>C8USbDtk0
157<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 00:17:11<>てす<><>nJPsY2wM0
158<>種族：名無し 多様性：高<>sage<>2008/04/13(日) 00:18:49<>もうこれでいいやｗ<><>0EbU.I8k0
